title,company,job_desc,Keywords,Competitiveness,salary,location,date_posted,url
Robotics Engineer,Ultradent,"Ultradent, a global name in oral healthcare, we are looking for a Robotics Engineer . As a Robotics Engineer you will help design and code real-time control systems that will be executed on robots interacting with humans. You will leverage sensor fusion to give situational awareness to robotic systems. You will have opportunities to interact with engineers, clinicians, dentists and patients to create a system that will make a positive impact in the dental industry.
Job Duties:
Design and implement control algorithms for robots interacting with humans
Test and debug your designs on robotic systems
Interact with a team of like-minded engineers to achieve design objectives
Create and maintain code bases
What we're looking for in you:
Proficiency in MATLAB and C++
Knowledge of multibody dynamics, trajectory planning, and torque control
Strong analytical and debug skills
Familiarity with programming in Linux
4-6 years experience with Bachelors degree
2-4 years experience with masters degree
Bachelor’s or Master’s degree in engineering, specializing in robotics
Ultradent is an Equal Opportunity and Affirmative Action Employer. We are a global culture where differences are sought after, welcomed, and embraced. All qualified applicants will receive consideration for employment without regards to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.


VEVRAA Federal Contractor: For more information please contact us at Recruiting@ultradent.com .


PWDNET","MATLAB, C++, Linux, Robotics",High,,"Salt Lake City, UT",Posted2 days ago,https://www.indeed.com/rc/clk?jk=2f57e98d8ee71398&fccid=0a45d629f7af81fc&vjs=3
Robotics Co-op (January-June 2022),Amazon.com Services LLC,"
Working towards a BS or MS in Mechanical Engineering or equivalent work experience with at least one semester of school left after co-op completion
Degree program in electrical, mechanical, computer science, robotics, or systems engineering
Demonstrated experience working in team environments

Job summary
Are you inspired by invention? Is problem solving through teamwork in your DNA? Do you like the idea of seeing how your work impacts the bigger picture? Answer yes to any of these and you’ll fit right in here at Amazon Robotics. We are a smart team of doers that work passionately to apply cutting edge advances in robotics and software to solve real-world challenges that will transform our customers’ experiences in ways we can’t even imagine yet. We invent new improvements every day. We are Amazon Robotics and we will give you the tools and support you need to invent with us in ways that are rewarding, fulfilling and fun.
Amazon Robotics is seeking a talented and self-motivated co-op to assist with the development and testing of our upcoming robotics projects. The ideal candidate will be enrolled in an undergraduate or graduate program related to hardware engineering. This position will report to the Robotics Strategy Technical Manager.

This role is a 6 month co-op to join AR full time (40 hours/week) from January-June 2022. Come join us in our newly expanded innovation hub in Westborough, MA! AR shuttle services are available for commuting.

The Co-op will be responsible for:

Completing project tasks with a team of other interns and Amazon Robotics engineers
Utilizing Amazon Robotics engineering tools and processes
Prototyping and testing robotics concepts or features
Tracking progress of task deliverables
Developing and maintaining design documentation
Presenting information to managers and engine
Excellent written and oral communication skills
Experience resolving complex issues in creative, efficient, and effective ways
Strong organizational and planning skills
Customer focus
Previous project team experience recommended

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",Robotics,Medium,,"Westborough, MA 01581",Posted11 days ago,https://www.indeed.com/rc/clk?jk=c04d1812dda6b9db&fccid=fe2d21eef233e94a&vjs=3
Jr. Software Engineer,FINSYNC,"ABOUT FINSYNCFINSYNC’s mission is to help small to midsize businesses grow and succeed with innovative software and unmatched services.We offer an all-in-one platform that helps businesses centralize control of payments, process payroll, automate accounting, and manage cash flow. We also connect businesses with the right financial professional in our partner network for quicker access to the best banking, financing, card processing, accounting assistance, and insurance.The result, when you combine innovative software with unmatched services, businesses experience financial harmony, peace of mind, and the best way to grow their business with less time and better results.To find out more, visit finsync.comJunior Software DeveloperFINSYNC is looking for enthusiastic junior software developers to join our experienced software development team. You will report directly to the development manager and assist with all functions of software coding and design. Your primary focus will be to learn the codebase, and respond to requests from senior developers.Position SummaryAssist the team with all aspects of software design and coding.Attend and contribute to company development meetings.Self learning and development of skillsWrite and maintain codeWork on minor bug fixes and provide technical analysis on how to avoid those issues long termRespond to requests from the development teamConduct development testsProvide a fresh perspective to our products and team structureWhat We’re Looking ForA good working knowledge of basic programming constructsThe ability to learn new technology quickly, and the ability to work in a team environmentThe ideal candidate provides valuable support to the development team while continually improving their coding and design skills.A great communicator who consistently finds new ways to help teammates succeed in their jobs.A strong work ethic and desire to consistently meet deadlines.Necessary QualificationsBasic programming experienceWorking knowledge of one or more current programming languages used in web development. Think Ruby, Python, JavascriptKnowledge of databases, preferably PostgreSQLBonus QualificationsAbility to learn quicklyAbility to follow instructions and work in a team environmentAbility to adapt to changing priorities at short noticeDetail-orientedJob Type: Full-timePay: $60,000.00 - $70,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceDisability insuranceFlexible scheduleHealth insuranceLife insurancePaid time offParental leaveVision insuranceSchedule:Monday to FridayEducation:Bachelor's (Preferred)Experience:REST: 1 year (Preferred)Work Location: Remote","Programming, Ruby, Python, Javascript, Database",Medium,"$60,000 - $70,000 a year",Remote,EmployerActive 2 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BF_TAavgYL-Y-9bjzug117eAI0lTqYNQL9-J56xsgTKysbln5FNOv3JmsQ0QtkgFGa209B6UxyWDUcMFpMi3FPrgg7wff8-ReSlmyIIjLncI8RS2KIX7-DOpzFFSbnFGDhbPdVk4VB25yiUwZmuEkfRdf_QvZhX4eDe4oY8cQZYXWMtJ7mRLVAMeXDQaQCrySNOp3Z7SkMrQqWG4OSP8-6RZ0eVI5q2WKt8MuQvqV_godFvukZNGnw_he1qWJX3BMUYgDeuqPoSbxn17ho609n0lDO_NrshueRQx4tLVwigoZ0l04vHsL14F7eKYt47r2mqiPPnETrizeBoq38da4oHQYowdv_aYPVdFqko8Zq8H_Bngv22F8EJWoAkbhfE2GKz73r6ZfUiN4b9eClxKGrk-aiRaovFmWypWrLr-Shonr4q7WupMMEYF07P3xjG2DSrsex4qCAwA6wf-8BFmDV2jETIC-q30w=&p=0&fvj=1&vjs=3
Software Engineer II,Disney Streaming,"Job Summary:
Disney+ is the Disney-branded streaming service featuring an outstanding collection of content from its brands and franchises recognized and respected all over the world including Star Wars, Marvel, Pixar, Disney, and NatGeo. Hulu is a premium streaming service that offers premium originals, current season TV, a massive library of hit series and movies, and live television. Our combined Disney and Hulu team is looking for hardworking team players to join the Media Engineering team, who will thrive upon the legacy of Disney and Hulu, embrace unconventional thinking, and who are passionate about contributing to The Walt Disney Company’s direct-to-consumer (DTC) experience through strategic hard work and determination.

Media Engineering works on building out the scalable distributed systems for processing media that is core to our products. You will be joining the team that manages the automated processing of every piece of media available on Disney+.

As a software engineer on the Media Engineering team, you will collaborate with a diverse team of problem solvers to deliver new features that ensure our media processing pipeline is best-in-class. Your days will be a mix of talking new architectures, performing code reviews, collaborating with media experts that are industrial leaders, and of course developing code!

Responsibilities:
Design, develop, test, deploy, maintain and improve software
Participate in the full lifecycle of application development from requirements gathering and designing, to building, testing, and maintaining our software
Work closely with stakeholders to deliver excellent products on tight Timelines
Basic Qualifications:
BA/BS degree in Computer Science or related software engineering field or equivalent practical experience
2 years’ experience with developing software products
Experience with Java","Software Engineering, Java",High,,"New York, NY+15 locations",Posted1 day ago,https://www.indeed.com/rc/clk?jk=9c7eec18118754c3&fccid=40e5de3065c12562&vjs=3
Software Engineer Apprentice,IBM,"Introduction
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on time, bank transactions complete in the blink of an eye and the world remains safe because of the work our software developers do. Whether you are working on projects internally or for a client, software development is critical to the success of IBM and our clients worldwide. At IBM, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of.

Your Role and Responsibilities
Are you interested in pursuing a software development career? Have you heard about agile development, but want to learn more about how it ‘works’? Are you someone that has a foundational understanding of development or programming concepts, but want to take a less traditional path to achieve it?

What is an Apprenticeship?
IBM Apprenticeship Program, which lasts approximately 12 months, is an official registered apprenticeship recognized by the Department of Labor (DOL). Every graduate of a Registered Apprenticeship program receives a nationally-recognized credential from the DOL.

During the apprenticeship duration, you will be required to complete specific learning hours and on the job training that has been outlined to ensure you are developing the skills and competencies essential to the role. You will be able to learn and grow at your own pace, but we expect most apprentices will complete their learning within 12 months. Once you graduate and receive your certificate from our apprentice program, you will be eligible to apply to available full-time roles at IBM.


Who you Are
An apprenticeship is about learning. We’re seeking candidates who have the following requirements, but we know you’re just getting your career started, and we’re committed to helping you learn and grow. If you’ve had some experience with coding or development in the past, you’re exactly the type of candidate we’re looking for….
Drive and eagerness to learn
Strong problem solving and communication skills
Able to work independently and take initiative, as well as work collaboratively and contribute to an agile team environment
Some knowledge or experience in ONE or more of the following:
Java, JavaScript, PHP, C#, Objective-C, C/C++, Python, Ruby and/or functional languages (Haskell, Scala, F#, Clojure)
Design Thinking
Hypothesis driven development
Social coding
Agile principles
Container development using tools such as Docker or Vagrant
Application Development, DevOps automation, and the development toolchain (e.g. Travis, Jenkins, Junit, automated test tools)
What’s the Experience?

As an apprentice, you'll join with other apprentices in a local cohort. You'll go through your first few weeks together, learning about IBM and the skills you'll be attaining throughout your apprenticeship. Then, you'll work with your managers and mentors to progress through your personal skills roadmap, learning and demonstrating new knowledge and competencies through hands-on application with your project teams. You'll complete milestones along the way, earning digital credentials to validate your skills, and will come back together with other apprentices to participate in on-going training and development focused on your professional and technical skills.

As a Software Engineer Apprentice at IBM, you’ll work as part of a larger team of experienced developers and mentors in an interactive, collaborative environment. You’ll learn the fundamentals of development, software design, testing, and cloud computing, agile principles, IBM Design Thinking, DevOps and continuous delivery. You will also learn how to resolve IBM customer issues, debug customer problems and environments, and increase Cloud Service skills, and will build the skills to grow your career as a Software Developer. Best of all, you are a contributing member of your team, putting forward ideas, taking on responsibilities and making choices about how you get the job done just like any other IBMer.

The work location for this position is Research Triangle Park, NC. No relocation is available for this position.

ncappx

Required Technical and Professional Expertise

Must have basic knowledge in one of the following programming languages: Java, JavaScript, PHP, C#, Objective-C, C/C++, Python, Ruby and/or functional languages (Haskell, Scala, F#, Clojure)
Willingness to complete the requirements of the apprenticeship program.
Preferred Technical and Professional Expertise

none
About Business UnitIBM Systems helps IT leaders think differently about their infrastructure. IBM servers and storage are no longer inanimate - they can understand, reason, and learn so our clients can innovate while avoiding IT issues. Our systems power the world’s most important industries and our clients are the architects of the future. Join us to help build our leading-edge technology portfolio designed for cognitive business and optimized for cloud computing.
This job requires you to be fully COVID-19 vaccinated prior to your start date, where legally permissible. Proof of vaccination status will be required. If you are unable to be vaccinated due to medical, pregnancy or religious reasons, we offer accommodations in accordance with applicable law.
Your Life @ IBMAre you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBMIBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business. At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location StatementIBM offers a competitive benefits program which may include medical, dental, vision, paid holidays, paid sick time, paid vacation, Employee Assistance Program (EAP), life insurance, IBM 401(k) Program and Employee Stock Purchase Plan.

IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

We consider qualified applicants with criminal histories, consistent with applicable law.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","Java, JavaScript, PHP, C#, Objective-C, C/C++, Python, Ruby, Scala",Medium,,"Research Triangle Park, NC 27709+38 locations",Posted6 days ago,https://www.indeed.com/rc/clk?jk=3f735a4a8576f2b0&fccid=de71a49b535e21cb&vjs=3
Software Engineer: Web,Oxide Computer Company,"The web console is the last mile of Oxide’s vision: delivering the complexities of cloud infrastructure with a beautiful and functional interface that delights our customers.
As a software engineer working on the web console, you will:
Work with friendly, engaged engineers and designers to build a fast and accessible web interface to the Oxide platform.
Understand customer use cases and help define the Oxide product. Decisions about the console have consequences all the way down the stack.
Write a lot of TypeScript and a little Rust. Rust experience is not required; interest goes a long way.
Debug backend code when it's not doing what you expect, and even fix it yourself.
Write tooling to help the team move faster.
Learn about all layers of the stack exposed to users through the web: fault-tolerant distributed systems and databases that support virtual machines, virtual storage devices, and virtual networks.
Code without fear, supported by continuous builds, tests, a constructive code-review process, and a supportive culture of identifying and fixing bugs.
These responsibilities are just a starting place! We’re a small company, we don’t have rigid roles, and we have a lot to do – we can help you grow wherever your interests take you.
You will thrive in this role if you:
Write solid JavaScript, HTML, and CSS.
Approach development with rigor and a product mindset.
Use libraries judiciously and avoid frontend architecture antipatterns.
Know one of the major web SPA frameworks. React experience is helpful but not required.
Believe in fully documenting your ideas.
Enjoy reading the documentation produced by others.
Get excited about a wide range of technical topics and dig really deep into them.
Don’t mind coworkers getting really excited about decades-old computer front panels.
If you don’t meet 100% of these qualifications you should still seriously consider applying! We all come from different backgrounds with different skills.
Life at Oxide
We are very explicit about our values, and they can be seen in daily life at Oxide, for example:
Our rigor means we enjoy and take pride in the craft of engineering.
Our urgency means that we are not above the judicious short-cut.
Our versatility is reflected in our greatest strength: the breadth of our team.
Our transparency can be seen in our consensus-driven RFD process.
Our responsibility means that we both lead and follow: we have our own domains, but we also help others on their parts.
Our curiosity shows in our insatiable desire to learn – and our empathy in our love of teaching others.
Our humor is a big part of our daily lives: we are inveterate wise-crackers whose video meetings spill into simultaneous text chat.
Our values also manifest themselves in our benefits:
Everyone makes $180,250, regardless of location.
We offer the best health insurance we could find: medical PPO plan, dental, and vision that are 100% covered for both employees and dependents.
We are very supportive of remote work. About half of our team is outside of the San Francisco Bay Area; our only requirement is working hours with a significant overlap with Pacific Time.
Our families and lives outside of our jobs are very important to us; our schedules are flexible to reflect and support that.","HTML, Javascript, CSS",Medium,"$180,250 a year",+2 locationsRemote,Posted30+ days ago,https://www.indeed.com/rc/clk?jk=6997178a208c5dd0&fccid=78fc32d909bd4f0b&vjs=3
"Junior Software Engineer, Full-Stack",CharterUP,"About CharterUPWe aim to be the leading charter bus platform in the world and are looking for talented and ambitious people that want to be along for the ride! We are disrupting the massive and highly fragmented bus industry by using our proprietary technology to seamlessly connect bus companies to customers (businesses, non-profits, and governments). By promoting group travel, we can reduce the transportation industry's carbon footprint and help make our planet greener. We are achieving success by delighting our people, our customers, and our bus partners.About This RoleWe are looking to add a Full-Stack Software Engineer to the team. You will be working with top notch-talent that includes both our internal team as well as some of the brightest contractors. No member is an island. At CharterUP you will be a part of a team with deep knowledge of all areas of software development.Our team embraces Agile methodologies and is quick to adapt. We use a wide range of languages and tools. Our latest products are finely crafted weblications that empower our users. We are passionate about user experience. And we are excited about showing up to code. You can expect to be challenged. You can expect your contributions to be accepted and appreciated. And you can expect your skills to become even sharper. Iron sharpens iron.We are looking for someone who understands software architecture, data modeling, and object-oriented programming concepts. You must be a coder. We would love to see examples of interesting solutions you've created.Compensation$85,000 base salaryMaterial equity awardWhat You’ll DoEfficiently roll out technical features from concept to productCollaborate with a team to develop our next generation travel platformDevelop tooling and processes to benefit and grow our teamWhat You’ll NeedBachelor's degree in Computer Science, Computer Engineering, or similar STEM degree from a top-ranked institutionBack-end expertise in Java Spring Boot or HibernateFront-end expertise in Vue, React, or AngularPotential to quickly develop expertise in any part of our tech stack where you have limited experienceLocationCharterUP's headquarters are in Atlanta but employees can work remotely full-time or from one of CharterUP's satellite offices in New York City, San Francisco, or Austin.Team Application ProcessCandidate submits CharterUP online applicationResumes encouraged to be at most one page in lengthAnswers to all initial application questions thoroughly reviewedInitial evaluationCoding exerciseGeneral aptitude assessmentShort interview with executivesInterviewsLong dev team interview, which includes CTO and other engineersInformal conversation with junior engineersOfferBackground and reference checks prior to formal offerCharterUP PrinciplesAt CharterUP, we don’t compromise on quality. We hire smart, high-energy, trustworthy people and keep them as motivated and happy as possible. We do that by adhering to our principles, which are:Customer FirstWe always think about how our decisions will impact our clients; earning and keeping customer trust is our top priorityWe are not afraid of short-term pain for long-term customer benefitCreate an Environment for Exceptional PeopleWe foster intellectual curiosityWe identify top performers, mentor them, and empower them to achieveEvery hire and promotion will have a higher standardEveryone is an Entrepreneur / OwnerNo team member is defined by their function or job title; no job is beneath anyoneWe do more with less; we are scrappy and inventiveWe think long-termRelentlessly High StandardsWe don’t accept “that’s how it’s always been done”; we constantly innovate and question established routines to improve processesWe actively push to be proved wrong and welcome different ideas; the best idea winsWe don’t compromise on qualityClarity & SpeedWhen in doubt, we act; we can always change courseWe focus on the key drivers of a process that will deliver the most resultsMandate to Dissent & CommitWe are confident in expressing our opinions; it is our obligation to express our disagreementOnce we decide, we enthusiastically move together in the agreed upon directionpEintktpaFJob Type: Full-time","Java, React, AngularJS",Medium,"$85,000 a year","New York, NY 10014 (West Village area)+3 locations•Remote",PostedToday,https://www.indeed.com/company/CharterUP/jobs/Junior-Software-Engineer-b8726782c5106e61?fccid=2a5ca8433da434fd&vjs=3
2022 Software Engineer Program - Full Time Opportunity,"JPMorgan Chase Bank, N.A.","Be a part of a dynamic and diverse team that engineers the large-scale, complex and resilient technology solutions that drive our global business. This program will allow you to help build and optimize digital applications and systems that support millions of customers, clients and employees worldwide.
When you work at JPMorgan Chase, you're not just working at a global financial institution. You're an integral part of one of the world's biggest tech companies. Across our global technology centers, our team of more than 50,000 technologists design, build, deploy and run everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning and cloud development. As a firm, we're partnering with FinTech and Silicon Valley tech firms to deliver cutting-edge solutions to our clients and customers. Our $11 billion annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.
What to expect
Launching your career in our Software Engineer Program means you will:

Start with an in-depth induction program that teaches you about our businesses, builds on your knowledge of development methodologies, and sharpens your professional skills.
Dive head-first into creating innovative solutions that make a difference for our customers, clients and employees.
Create and improve the design, analytics, coding and testing for high-quality software and new products.
Own projects end-to-end, keeping teams and stakeholders up to speed on the progress of what's being developed.
Work and share ideas, information and innovation with our team of technologists from all over the world.
Develop through on-going training, mentorship and access to senior leaders.
Participate in our Force for Good program to develop real-life tech solutions for social good organizations while learning new skills and collaborating with our JPMorgan Chase tech experts.
Join an inspiring and curious team of technologists who will support you in developing new skills, experiencing new projects and businesses, and taking your career where you want to go.

Locations you may join in the United States:

Chicago, IL
Columbus, OH
Houston, TX
Wilmington, DE
New York Metro, NY
Plano, TX
San Francisco Metro, CA
Seattle, WA
Tampa, FL
About you
If you're ready to put your passion for technology to work in a way that makes a real difference, you'll find your place in our Software Engineer Program.
Key skills include:

Computer Science and/or Engineering majors are preferred while other majors may be considered
Pursuing a B.A., B.S. or 5th year M.A. or M.S. with expected graduation of August 2021 or June 2022
A well-rounded academic background with a preferred minimum GPA of 3.2
Foundational knowledge of programming languages (e.g., Python, Javascript, Java, C++, C#), databases, data structures and algorithms
Strong interpersonal and communication skills
Ability to thrive in a fast-paced, collaborative environment
Exceptional problem solving ability
Relevant internship experience and leadership in school or community organization

To be eligible for this program, you must be authorized to work in the U.S. on a permanent basis. We do not offer any type of employment-based immigration sponsorship for this program. Likewise, JPMorgan Chase & Co., will not provide any assistance or sign any documentation in support of any other form of immigration sponsorship or benefit including optional practical training (OPT) or curricular practical training (CPT.)
Join us
At JPMorgan Chase, we're creating positive change for the diverse communities we serve. We do this by championing your innovative ideas through a supportive culture that helps you every step of the way as you build your career.
We value the unique skills of every employee, and we're building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you're looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.
What's Next?
Help us learn about you by submitting a complete and thoughtful application, which includes your resume and location preference. Your application and resume is a way for us to initially get to know you, so it's important to complete all relevant application questions so we have as much information about you as possible.
After you confirm your application, we will review it to determine whether you meet certain required qualifications.
If you are advanced to the next step of the process, you'll receive an email invitation to complete a coding challenge and video interview, powered by HireVue. This is your opportunity to further bring your resume to life and showcase your experience for our recruiting team and hiring managers.
HireVue is required, and your application will not be considered for further review until you have completed this step. We strongly encourage that you apply and complete these required elements as soon as possible, since programs will close as positions are filled.
JPMorgan Chase is committed to creating an inclusive work environment that respects all people for their unique skills, backgrounds and professional experiences. We strive to hire qualified, diverse candidates, and we will provide reasonable accommodations for known disabilities.
Visit jpmorganchase.com/careers for upcoming events, career advice, our locations and more.
JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.
The health and safety of our colleagues, candidates, clients and communities has been a top priority in light of the COVID-19 pandemic. JPMorgan Chase was awarded the ""WELL Health-Safety Rating"" for all of our 6,200 locations globally based on our operational policies, maintenance protocols, stakeholder engagement and emergency plans to address a post-COVID-19 environment.

As a part of our commitment to health and safety, we have implemented various COVID-related health and safety requirements for our workforce. These requirements may include sharing information in the firm's vaccine record tool, vaccination or regular testing, mask wearing, social distancing and daily health checks. Requirements may change in the future with the evolving public health landscape. JPMorgan Chase will consider accommodation requests.
Equal Opportunity Employer/Disability/Veterans","Python, Javascript, Java, C++, C#, databases, data structures and algorithms",Medium,,"New York, NY+126 locations",Posted2 days ago,https://www.indeed.com/rc/clk?jk=a77824ae0ac8fd0e&fccid=aaf3b433897ea465&vjs=3
Software Development Engineer,Amazon.com Services LLC,"Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design
Bachelor's degree in computer science related fields OR 1+ years equivalent experience in software development
Bachelor's degree in computer science, engineering, or a related technical discipline OR a Bachelors degree in unrelated technical discipline with a 1+ year intensive training program in computer science
Strong knowledge of computer science fundamentals in object-oriented design, data structures, algorithm design, problem solving, and complexity analysis
Experience working within either agile or traditional waterfall software development lifecycles
Proficiency in at least one modern programming language such as C, , C#, or Java

Job summary
Do you want to be part of a new engineering team that is building from the ground up at Amazon? Can you commit to building a new service with a high level of integrity and discretion in handling sensitive information? Do you have a passion for bringing the best experience to our customers?

In this team you will have the opportunity to:

Solve challenging problems at significant scale

·

Work on an innovative service that’s still in its beginning stages

·

Be an actively contributing member of an agile development team, and have a large impact on the design, architecture, and implementation of a mission critical project

·

Work in a start-up environment with the backing of a strong corporate support culture within Amazon

We are looking for software developers with expertise and passion for building large scale distributed systems and services. In this role, you will have responsibility for:

Building functional and technical requirements into detailed architecture and design

·

Coding and testing complex system components

·

Participating in code and design reviews to maintain our high development standards

·


Mentoring other engineers, defining our challenging technical culture, and helping to build a new fast-growing team
Knowledge of professional software engineering practices and best practices for the full software development lifecycle, including coding standards, code reviews, source control management, build processes, testing, and operations
Write high quality code that is robust and easy to maintain
Possess good communication skills and sharp analytical abilities

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us//

The pay range for this position in Colorado is $93,800 - $160,000/yr; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site.","Java, C++, C#",Medium,"$93,800 - $160,000 a year",+126 locationsRemote,Posted12 days ago,https://www.indeed.com/rc/clk?jk=f4239d25feefb169&fccid=fe2d21eef233e94a&vjs=3
Software Engineer I,TCP Software,"Software Engineer/Computer Programmer - San Angelo or Austin, TXTCP is committed to cultivating a diverse and inclusive team. However, we are not able to sponsor visas for this role.Our Software Engineering team is responsible for the ongoing maintenance and development of TCP's software to ensure our clients' needs are met and their expectations are exceeded. This role will be responsible for designing, testing, and implementing new features. TCP's Software Engineering role is perfect for early-career Software Engineers that are looking for a dynamic position at a growing company - if that sounds like you, please consider applying below!Basic Function of Position:Initiate, test, and document product development and enhancement per software/client specificationsReview, define, analyze, and improve detailed specifications and implement feature developmentImprove development operations through object-oriented analysisCreating innovative solutions to meet our company’s technical needsTesting new software and fixing bugsRequired/Desired Knowledge, Skills, and Abilities:Bachelor’s degree in Computer Science, Software Engineering, or related field1-3 years of software development experience preferredRecent experience with C# and/or Java development and Web Application development preferredStrong communication skillsPassion for ingenuityCreative problem-solving skillsA comprehensive understanding of computer science conceptsExcellent coding skillsExtensive knowledge of agile methodologiesAbout TCP (TimeClock Plus):For more than 30 years, TCP (TimeClock Plus) has helped organizations engage their people by providing flexible, mobile timekeeping and workforce management solutions. Trusted by tens of thousands of customers and millions of users, TCP delivers best-in-class technology and personalized support to organizations of all sizes in the public and private sector to meet their complex timekeeping, employee scheduling, leave management and other workforce needs. We recently embraced our new, refreshed brand which we feel fully embodies our commitment to innovation while also completing our first acquisition of Humanity, an industry-leading cloud-based scheduling platform. Growth is happening and our vision for a successful future is clear - We'd love for you to join us on this journey!Benefits: Competitive salary based on experiencePTO and 9 days of companywide holidays8 hours to volunteer and impact the communityComprehensive benefits (Health/Dental/Vision/ 401K)The work/life set up you need to be successfulJob Type: Full-time","C#, Java, TCP",High,,+1 locationRemote,PostedToday,https://www.indeed.com/company/TCP-Software/jobs/Software-Engineer-4f898601b663cfb9?fccid=82e95b0a62c053cd&vjs=3
